"request_name","is_variable_data","suppress_sending","request_col_name","reply_col_name","col_order","data_type","output_col_name","db_col_name","ts"
TsyBondInfo,1,1,AMOUNT_HELD_BY_CENTRAL_BANK,AMOUNT_HELD_BY_CENTRAL_BANK,8,FLOAT,AMOUNT_HELD_BY_CENTRAL_BANK,amt_central_bank,2025-07-10 12:40:22.850
MBSBondInfo,1,1,AMT_OUTSTANDING,AMT_OUTSTANDING,7,FLOAT,AMT_OUTSTANDING,amt_outstanding,2025-07-10 12:40:51.323
TsyBondInfo,1,1,AMT_OUTSTANDING,AMT_OUTSTANDING,7,FLOAT,AMT_OUTSTANDING,amt_outstanding,2025-07-10 12:40:22.850
TsyBondInfo,1,1,BB_SPREAD_TO_SPLINE_CUBIC,BB_SPREAD_TO_SPLINE_CUBIC,44,FLOAT,BB_SPREAD_TO_SPLINE_CUBIC,spread_to_spline,2025-07-10 12:40:22.850
TsyBondInfo,1,1,CNVX_BID,CNVX_BID,10,FLOAT,CNVX_BID,cnvx_bid,2025-07-10 12:40:22.850
FuturesInfo,0,0,CTD,CTD,4,TEXT,CTD,ctd,2025-07-10 12:41:13.263
TsyBondInfo,1,1,DUR_ADJ_BID,DUR_ADJ_BID,9,FLOAT,DUR_ADJ_BID,dur_adj_bid,2025-07-10 12:40:22.850
MBSBondInfo,1,1,DUR_ADJ_MID,DUR_ADJ_MID,9,FLOAT,DUR_ADJ_MID,dur_adj_mid,2025-07-10 12:40:51.323
MBSBondInfo,1,1,DUR_ADJ_OAS_MID,DUR_ADJ_MID,10,FLOAT,DUR_ADJ_MID,dur_adj_mid,2025-07-10 12:40:51.323
FuturesInfo,0,0,FUT_DLV_DT_FIRST,FUT_DLV_DT_FIRST,2,DATE,FUT_DLV_DT_FIRST,first_delivery_date,2025-07-10 12:41:13.253
FuturesInfo,0,0,FUT_DLV_DT_LAST,FUT_DLV_DT_LAST,3,TEXT,FUT_DLV_DT_LAST,last_delivery_date,2025-07-10 12:41:13.263
FuturesInfo,0,0,FUT_DLVRBLE_BNDS_CUSIPS,FUT_DLVRBLE_BNDS_CUSIPS,5,TEXT,FUT_DLVRBLE_BNDS_CUSIPS,deliverable_cusip_list,2025-07-10 12:41:13.263
FuturesInfo,0,1,ID,TICKER,1,TEXT,TICKER,ticker,2025-07-10 12:41:13.243
MBSBondInfo,0,1,ID,CUSIP_NUMBER,1,TEXT,CUSIP_NUMBER,cusip,2025-07-10 12:40:51.303
TsyBondInfo,0,1,ID,CUSIP_NUMBER,1,TEXT,CUSIP_NUMBER,cusip,2025-07-10 12:40:22.826
TsyBondInfo,0,0,ID_ISIN,ID_ISIN,6,TEXT,ID_ISIN,ISIN,2025-07-10 12:40:22.850
TsyBondInfo,1,1,IDX_RATIO,IDX_RATIO,42,FLOAT,IDX_RATIO,index_ratio,2025-07-10 12:40:22.850
TsyBondInfo,1,1,INFLATION_LINKED_INDICATOR,INFLATION_LINKED_INDICATOR,28,FLOAT,INFLATION_LINKED_INDICATOR,inflation_linked,2025-07-10 12:40:22.850
TsyBondInfo,0,0,ISSUE_DT,ISSUE_DT,5,DATE,ISSUE_DT,issue_date,2025-07-10 12:40:22.850
MBSBondInfo,0,0,ISSUER,ISSUER,2,TEXT,ISSUER,issuer,2025-07-10 12:40:51.313
MBSBondInfo,1,1,KEY_RATE_DUR_10YR,KEY_RATE_DUR_10YR,26,FLOAT,KEY_RATE_DUR_10YR,key_rate_10yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_10YR,KEY_RATE_DUR_10YR,23,FLOAT,KEY_RATE_DUR_10YR,key_rate_10yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_15YR,KEY_RATE_DUR_15YR,27,FLOAT,KEY_RATE_DUR_15YR,key_rate_15yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_15YR,KEY_RATE_DUR_15YR,24,FLOAT,KEY_RATE_DUR_15YR,key_rate_15yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_1YR,KEY_RATE_DUR_1YR,17,FLOAT,KEY_RATE_DUR_1YR,key_rate_1yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_1YR,KEY_RATE_DUR_1YR,14,FLOAT,KEY_RATE_DUR_1YR,key_rate_1yr,2025-07-10 12:40:22.850
MBSBondInfo,1,1,KEY_RATE_DUR_20YR,KEY_RATE_DUR_20YR,28,FLOAT,KEY_RATE_DUR_20YR,key_rate_20yr,2025-07-10 12:40:51.323
TsyBondInfo,1,1,KEY_RATE_DUR_20YR,KEY_RATE_DUR_20YR,25,FLOAT,KEY_RATE_DUR_20YR,key_rate_20yr,2025-07-10 12:40:22.850
