request_name,is_variable_data,suppress_sending,request_col_name,reply_col_name,col_order,data_type,output_col_name,db_col_name
MBSBondInfo,0,0,ID,CUSIP_NUMBER,1,TEXT,CUSIP_NUMBER,cusip
MBSBondInfo,0,0,ISSUER,ISSUER,2,TEXT,ISSUER,issuer
MBSBondInfo,0,0,SECURITY_TYP,SECURITY_TYP,3,TEXT,SECURITY_TYP,sec_type
MBSBondInfo,0,0,MATURITY,MATURITY,4,DATE,MATURITY,maturity_date
MBSBondInfo,0,0,TICKER,TICKER,5,TEXT,TICKER,ticker
MBSBondInfo,0,0,MTG_GEN_CPR_3M,MTG_GEN_CPR_3M,6,FLOAT,MTG_GEN_CPR_3M,cpr_3mo
MBSBondInfo,1,1,AMT_OUTSTANDING,AMT_OUTSTANDING,7,FLOAT,AMT_OUTSTANDING,amt_outstanding
MBSBondInfo,1,1,MTG_WAL,MTG_WAL,8,FLOAT,MTG_WAL,wal
MBSBondInfo,1,1,DUR_ADJ_MID,DUR_ADJ_MID,9,FLOAT,DUR_ADJ_MID,dur_adj_mid
MBSBondInfo,1,1,DUR_ADJ_OAS_MID,DUR_ADJ_MID,10,FLOAT,DUR_ADJ_MID,dur_adj_mid
MBSBondInfo,0,0,SECURITY_DES,SECURITY_DES,11,TEXT,SECURITY_DES,sec_description
MBSBondInfo,1,1,PX_BID,PX_BID,12,FLOAT,PX_BID,
MBSBondInfo,1,1,PX_DISC_BID,PX_DISC_BID,13,FLOAT,PX_DISC_BID,
MBSBondInfo,1,1,MTG_FACTOR,MTG_FACTOR,14,FLOAT,MTG_FACTOR,factor
MBSBondInfo,1,1,KEY_RATE_DUR_3MO,KEY_RATE_DUR_3MO,15,FLOAT,KEY_RATE_DUR_3MO,key_rate_3mo
MBSBondInfo,1,1,KEY_RATE_DUR_6MO,KEY_RATE_DUR_6MO,16,FLOAT,KEY_RATE_DUR_6MO,key_rate_6mo
MBSBondInfo,1,1,KEY_RATE_DUR_1YR,KEY_RATE_DUR_1YR,17,FLOAT,KEY_RATE_DUR_1YR,key_rate_1yr
MBSBondInfo,1,1,KEY_RATE_DUR_2YR,KEY_RATE_DUR_2YR,18,FLOAT,KEY_RATE_DUR_2YR,key_rate_2yr
MBSBondInfo,1,1,KEY_RATE_DUR_3YR,KEY_RATE_DUR_3YR,19,FLOAT,KEY_RATE_DUR_3YR,key_rate_3yr
MBSBondInfo,1,1,KEY_RATE_DUR_4YR,KEY_RATE_DUR_4YR,20,FLOAT,KEY_RATE_DUR_4YR,key_rate_4yr
MBSBondInfo,1,1,KEY_RATE_DUR_5YR,KEY_RATE_DUR_5YR,21,FLOAT,KEY_RATE_DUR_5YR,key_rate_5yr
MBSBondInfo,1,1,KEY_RATE_DUR_6YR,KEY_RATE_DUR_6YR,22,FLOAT,KEY_RATE_DUR_6YR,key_rate_6yr
MBSBondInfo,1,1,KEY_RATE_DUR_7YR,KEY_RATE_DUR_7YR,23,FLOAT,KEY_RATE_DUR_7YR,key_rate_7yr
MBSBondInfo,1,1,KEY_RATE_DUR_8YR,KEY_RATE_DUR_8YR,24,FLOAT,KEY_RATE_DUR_8YR,key_rate_8yr
MBSBondInfo,1,1,KEY_RATE_DUR_9YR,KEY_RATE_DUR_9YR,25,FLOAT,KEY_RATE_DUR_9YR,key_rate_9yr
MBSBondInfo,1,1,KEY_RATE_DUR_10YR,KEY_RATE_DUR_10YR,26,FLOAT,KEY_RATE_DUR_10YR,key_rate_10yr
MBSBondInfo,1,1,KEY_RATE_DUR_15YR,KEY_RATE_DUR_15YR,27,FLOAT,KEY_RATE_DUR_15YR,key_rate_15yr
MBSBondInfo,1,1,KEY_RATE_DUR_20YR,KEY_RATE_DUR_20YR,28,FLOAT,KEY_RATE_DUR_20YR,key_rate_20yr
MBSBondInfo,1,1,KEY_RATE_DUR_25YR,KEY_RATE_DUR_25YR,29,FLOAT,KEY_RATE_DUR_25YR,key_rate_25yr
MBSBondInfo,1,1,KEY_RATE_DUR_30YR,KEY_RATE_DUR_30YR,30,FLOAT,KEY_RATE_DUR_30YR,key_rate_30yr
